id,list_time,type_real_estate,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition,price
88179096,1634792048972,Căn hộ/Chung cư,Phường Tân Tạo,Quận Bình Tân,Tp Hồ Chí Minh,"Đường Quốc lộ 1A, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",Đã bàn giao,"23,85 triệu/m²",,Đông Nam,Đang chờ sổ,65 m²,,Chung cư,Nội thất cao cấp,Căn góc,2 phòng,2 phòng,,,,,,,,,,1550000000
88337018,1634791715390,Căn hộ/Chung cư,Phường Thảo Điền,Quận 2,Tp Hồ Chí Minh,"37, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Tp Hồ Chí Minh",Đã bàn giao,"44,8 triệu/m²",,,Đã có sổ,221 m²,25,Penthouse,Nội thất cao cấp,,4 phòng,4 phòng,,,,,,,,,,9900000000
88855489,1634791669000,Căn hộ/Chung cư,Phường Bình Hưng Hoà B,Quận Bình Tân,Tp Hồ Chí Minh,"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",Đã bàn giao,"25,21 triệu/m²",,,Đang chờ sổ,71 m²,10,Chung cư,Hoàn thiện cơ bản,,2 phòng,2 phòng,,,,,,,,,,1790000000
88855140,1634791015000,Căn hộ/Chung cư,Phường 6,Quận 4,Tp Hồ Chí Minh,"Số 132, Số 132 Đường Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh",Đã bàn giao,"70,13 triệu/m²",,,Đang chờ sổ,77 m²,,Chung cư,Nội thất cao cấp,,2 phòng,2 phòng,,,,,,,,,,5400000000
88768001,1634790558782,Căn hộ/Chung cư,Phường Hiệp Bình Phước,Quận Thủ Đức,Tp Hồ Chí Minh,"Đường Tỉnh lộ 43, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",Đã bàn giao,"21,15 triệu/m²",,,,52 m²,,Chung cư,Hoàn thiện cơ bản,,2 phòng,1 phòng,,,,,,,,,,1100000000
88854813,1634790467000,Căn hộ/Chung cư,Phường 12,Quận 3,Tp Hồ Chí Minh,"Đường Trường Sa, Phường 12, Quận 3, Tp Hồ Chí Minh",Đã bàn giao,"44,44 triệu/m²",,,Đã có sổ,81 m²,,Chung cư,,,2 phòng,,,,,,,,,,,3600000000
88854788,1634790393000,Căn hộ/Chung cư,Phường Tân Thuận Đông,Quận 7,Tp Hồ Chí Minh,"Đường Tân Mỹ, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"24,24 triệu/m²",Đông,Nam,,66 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,1600000000
88854779,1634790367000,Căn hộ/Chung cư,Phường 14,Quận 10,Tp Hồ Chí Minh,"334, 334 Đường Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh",Đã bàn giao,"81,37 triệu/m²",,,Đang chờ sổ,102 m²,,Chung cư,,Căn góc,3 phòng,2 phòng,,,,,,,,,,8300000000
88854707,1634790263000,Căn hộ/Chung cư,Phường Long Thạnh Mỹ,Quận 9,Tp Hồ Chí Minh,"Nội khu dự án Vinhomes Grand Park- đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, TP HCM.",Chưa bàn giao,50 triệu/m²,,,,58 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,2900000000
88854697,1634790250000,Căn hộ/Chung cư,Phường 15,Quận Tân Bình,Tp Hồ Chí Minh,"Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",Đã bàn giao,"25,27 triệu/m²",,,Đang chờ sổ,91 m²,,Chung cư,,,2 phòng,,,,,,,,,,,2300000000
88763130,1634790214093,Căn hộ/Chung cư,Phường 12,Quận 10,Tp Hồ Chí Minh,"200, Đường 3/2, Phường 12, Quận 10, Tp Hồ Chí Minh",Đã bàn giao,"123,19 triệu/m²",Tây,Đông Nam,Đã có sổ,138 m²,6,Chung cư,Nội thất đầy đủ,Căn góc,3 phòng,3 phòng,,,,,,,,,,17000000000
88854662,1634790169000,Căn hộ/Chung cư,Phường 12,Quận 6,Tp Hồ Chí Minh,"336/20 Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh, Phường 12, Quận 6, Tp Hồ Chí Minh",Đã bàn giao,"48,04 triệu/m²",,,Đang chờ sổ,51 m²,,Chung cư,Hoàn thiện cơ bản,,1 phòng,1 phòng,,,,,,,,,,2450000000
88854538,1634789938000,Căn hộ/Chung cư,Phường An Phú,Quận 2,Tp Hồ Chí Minh,"C.Thảo - 0916301199  *******, đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Tp Hồ Chí Minh",Đã bàn giao,"68,69 triệu/m²",Tây Nam,Đông Bắc,Đã có sổ,99 m²,5,Chung cư,,,3 phòng,2 phòng,,,,,,,,,,6800000000
68094082,1634789854794,Căn hộ/Chung cư,Phường Phú Thuận,Quận 7,Tp Hồ Chí Minh,"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",Chưa bàn giao,"36,79 triệu/m²",Tây,Đông,Đang chờ sổ,53 m²,10,Chung cư,,,2 phòng,1 phòng,,,,,,,,,,1950000000
88392037,1634789689886,Căn hộ/Chung cư,Phường Long Thạnh Mỹ,Quận 9,Tp Hồ Chí Minh,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",Đã bàn giao,"38,98 triệu/m²",Đông Nam,,Đang chờ sổ,59 m²,5,Chung cư,Nội thất đầy đủ,,2 phòng,1 phòng,,,,,,,,,,2300000000
88773851,1634789664315,Căn hộ/Chung cư,Phường 17,Quận Gò Vấp,Tp Hồ Chí Minh,"Đường Nguyễn Oanh, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",Chưa bàn giao,"43,94 triệu/m²",,,Đã có sổ,66 m²,,Chung cư,Nội thất cao cấp,Căn góc,2 phòng,2 phòng,,,,,,,,,,2900000000
88369827,1634789581990,Căn hộ/Chung cư,Phường Tân Phong,Quận 7,Tp Hồ Chí Minh,"Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"33,47 triệu/m²",,,Đã có sổ,118 m²,,Chung cư,,Căn góc,3 phòng,2 phòng,,,,,,,,,,3950000000
88278994,1634789479616,Căn hộ/Chung cư,Phường Bình Trị Đông,Quận Bình Tân,Tp Hồ Chí Minh,"Đường Tên Lửa, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",Chưa bàn giao,"17,31 triệu/m²",,,Đang chờ sổ,52 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,900000000
88647625,1634789458097,Căn hộ/Chung cư,Phường 22,Quận Bình Thạnh,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",Đã bàn giao,"49,15 triệu/m²",,,Đã có sổ,118 m²,,Chung cư,,,3 phòng,,,,,,,,,,,5800000000
88825581,1634789210016,Căn hộ/Chung cư,Phường 4,Quận 8,Tp Hồ Chí Minh,"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",Đã bàn giao,"34,3 triệu/m²",,,Đang chờ sổ,86 m²,,Chung cư,,,3 phòng,2 phòng,,,,,,,,,,2950000000
88854090,1634789087000,Căn hộ/Chung cư,Phường Phú Mỹ,Quận 7,Tp Hồ Chí Minh,"Đường 15B, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"19,78 triệu/m²",,,Đang chờ sổ,90 m²,,Chung cư,Hoàn thiện cơ bản,,2 phòng,2 phòng,,,,,,,,,,1780000000
88854029,1634788969000,Căn hộ/Chung cư,Phường Bến Nghé,Quận 1,Tp Hồ Chí Minh,"đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",Đã bàn giao,50 triệu/m²,,,Đang chờ sổ,60 m²,,Officetel,Nội thất cao cấp,,1 phòng,1 phòng,,,,,,,,,,3000000000
88854005,1634788915000,Căn hộ/Chung cư,Phường Phú Hữu,Quận 9,Tp Hồ Chí Minh,"D1.12.08, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",Đã bàn giao,"44,03 triệu/m²",Đông Nam,Tây Bắc,,67 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,2950000000
88647691,1634788750422,Căn hộ/Chung cư,Phường 26,Quận Bình Thạnh,Tp Hồ Chí Minh,"224/5, 224/5 Đường Quốc Lộ 13, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",Đã bàn giao,"36,54 triệu/m²",,,Đã có sổ,104 m²,,Chung cư,Nội thất đầy đủ,,2 phòng,2 phòng,,,,,,,,,,3800000000
88853847,1634788607000,Căn hộ/Chung cư,Phường Tân Thuận Đông,Quận 7,Tp Hồ Chí Minh,"Tân Thuận Đông, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"24,24 triệu/m²",,,,66 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,1600000000
88585562,1634788579119,Căn hộ/Chung cư,Phường Bình Trị Đông B,Quận Bình Tân,Tp Hồ Chí Minh,"Đường Tên Lửa 2, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",Chưa bàn giao,"52,38 triệu/m²",Tây Bắc,Đông Nam,Đang chờ sổ,84 m²,12,Chung cư,Hoàn thiện cơ bản,Căn góc,3 phòng,2 phòng,,,,,,,,,,4400000000
88262257,1634788525699,Căn hộ/Chung cư,Phường 14,Quận Gò Vấp,Tp Hồ Chí Minh,"45, Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",Đã bàn giao,"27,4 triệu/m²",,,Đã có sổ,73 m²,,Chung cư,,Căn góc,2 phòng,2 phòng,,,,,,,,,,2000000000
88853553,1634788151000,Căn hộ/Chung cư,Phường Thạnh Xuân,Quận 12,Tp Hồ Chí Minh,"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Chưa bàn giao,"42,86 triệu/m²",Đông,,Đang chờ sổ,57.64 m²,5,Chung cư,,,2 phòng,1 phòng,,,,,,,,,,2443149000
