id,type_real_estate,unitnumber,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,block,price,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition
80265405,Căn hộ/Chung cư,12,Phường Tân Đông Hiệp,,Bình Dương,"45 Tân lập, Phường Tân Hòa, Thị xã Dĩ An, Bình Dương., Phường Tân Đông Hiệp, Bình Dương",Đã bàn giao,32 triệu/m²,,Đông Bắc,1,50.4 m²,B,1600000000.0,16,1,Hoàn thiện cơ bản,,2 phòng,2 phòng,,,,,,,,,
88816071,Căn hộ/Chung cư,,,Thị xã Dĩ An,Bình Dương,"Đường Xa lộ Hà Nội, Thị xã Dĩ An, Bình Dương",Đã bàn giao,"20,88 triệu/m²",,,Đã có sổ,57 m²,B,1190000000.0,12,1,2,1,2 phòng,2 phòng,,,,,,,,,
88579267,Căn hộ/Chung cư,,Phường Chánh Nghĩa,,,"Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Phường Chánh Nghĩa, ",Chưa bàn giao,"31,91 triệu/m²",5,Đông Nam,,94 m²,,3000000000.0,,1,,,3 phòng,2 phòng,,,,,,,,,
88447449,Căn hộ/Chung cư,,Phường Vĩnh Phú,Thành phố Thuận An,,"Đường Quốc lộ 13, Phường Vĩnh Phú, Thành phố Thuận An, ",Đã bàn giao,"27,5 triệu/m²",,,1,60 m²,,1650000000.0,,1,,,2 phòng,2 phòng,,,,,,,,,
88968656,Căn hộ/Chung cư,B0815,Phường Tân Đông Hiệp,Thị xã Dĩ An,,"45 Tân lập, Phường Tân Hòa, Thị xã Dĩ An, Bình Dương., Phường Tân Đông Hiệp, Thị xã Dĩ An, ",Đã bàn giao,"30,56 triệu/m²",5,Tây,Đang chờ sổ,54 m²,B,1650000000.0,8,1,,,2 phòng,2 phòng,,,,,,,,,
88968546,Căn hộ/Chung cư,01,Phường Lái Thiêu,Thành phố Thuận An,Bình Dương,"Đường Nguyễn Văn Tiết, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",Chưa bàn giao,"31,88 triệu/m²",,,Giấy tờ khác,50 m²,A,1594000000.0,21,Chung cư,Hoàn thiện cơ bản,,1 phòng,1 phòng,,,,,,,,,
88968217,Căn hộ/Chung cư,,Phường Thuận Giao,Thành phố Thuận An,Bình Dương,"Đường Nguyễn Thị Minh Khai, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Chưa bàn giao,"27,54 triệu/m²",,,Đang chờ sổ,69 m²,,1900000000.0,,Chung cư,,Căn góc,2 phòng,2 phòng,,,,,,,,,
88780467,Căn hộ/Chung cư,,,Thị xã Dĩ An,Bình Dương,"Đường Xa lộ Hà Nội, Thị xã Dĩ An, Bình Dương",Đã bàn giao,"17,32 triệu/m²",,,Đã có sổ,56 m²,,970000000.0,,1,,,2 phòng,2 phòng,,,,,,,,,
88305254,Căn hộ/Chung cư,02,Phường Đông Hòa,Thị xã Dĩ An,Bình Dương,"Đường Tân Lập, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",Đã bàn giao,34 triệu/m²,1,7,Đang chờ sổ,35 m²,B,1190000000.0,24,1,Hoàn thiện cơ bản,,1 phòng,1 phòng,,,,,,,,,
88883961,Căn hộ/Chung cư,,Phường Dĩ An,Thị xã Dĩ An,Bình Dương,"Số 30 DT743C, khu phố Thống Nhất, thị xã Dĩ An, tỉnh Bình Dương",Chưa bàn giao,34 triệu/m²,,,Đang chờ sổ,51 m²,1,1734000000.0,,Chung cư,Hoàn thiện cơ bản,,2 phòng,1 phòng,,,,,,,,,
87820264,Căn hộ/Chung cư,,Phường Thuận Giao,Thành phố Thuận An,Bình Dương,"Đường Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Chưa bàn giao,"21,43 triệu/m²",,,Đã có sổ,42 m²,,900000000.0,,Chung cư,,,1 phòng,1 phòng,,,,,,,,,
88967246,Căn hộ/Chung cư,,Phường Thuận Giao,Thành phố Thuận An,Bình Dương,"Đường Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Chưa bàn giao,"21,43 triệu/m²",,,,42 m²,,900000000.0,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,
88431164,Căn hộ/Chung cư,,Phường Tân Đông Hiệp,Thị xã Dĩ An,Bình Dương,"45 Tân lập, Phường Tân Hòa, Thị xã Dĩ An, Bình Dương.",Đã bàn giao,"39,43 triệu/m²",,,Đã có sổ,35 m²,,1380000000.0,,Chung cư,,,1 phòng,1 phòng,,,,,,,,,
88301022,Căn hộ/Chung cư,,Phường Lái Thiêu,,Bình Dương,"Đường Cầu Sắt, Phường Lái Thiêu, Bình Dương",Chưa bàn giao,25 triệu/m²,,Đông Nam,3,52 m²,,1300000000.0,,1,Hoàn thiện cơ bản,,1 phòng,1 phòng,,,,,,,,,
88966577,Căn hộ/Chung cư,,Phường Vĩnh Phú,,Bình Dương,"Đường Quốc Lộ 13, Phường Vĩnh Phú, Bình Dương",Chưa bàn giao,"32,96 triệu/m²",,,Đang chờ sổ,54 m²,A&B,1780000000.0,27,1,,,2 phòng,1 phòng,,,,,,,,,
88920987,Căn hộ/Chung cư,,Phường An Bình,Thị xã Dĩ An,Bình Dương,"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",Đã bàn giao,"34,42 triệu/m²",,,Đang chờ sổ,77.42 m²,,2650000000.0,,Chung cư,Hoàn thiện cơ bản,,2 phòng,2 phòng,,,,,,,,,
88481900,Căn hộ/Chung cư,,,Thị xã Dĩ An,,"Đường Xa lộ Hà Nội, Thị xã Dĩ An, ",Đã bàn giao,"21,79 triệu/m²",,,1,56 m²,,1220000000.0,,1,,Căn góc,2 phòng,2 phòng,,,,,,,,,
81938129,Căn hộ/Chung cư,,Phường Dĩ An,Thị xã Dĩ An,,"65 Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương",Chưa bàn giao,"24,51 triệu/m²",,,Đang chờ sổ,55 m²,,1348000000.0,,1,,,2 phòng,2 phòng,,,,,,,,,
