city,date,direction,district,floors,front_road,id,length,price,property_legal_document,rooms,size,type_adv,type_real_estate,ward,width
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Phú Nhuận,4,"3,5m",9287145,6m," 7,9 tỷ ",Sổ hồng/ Sổ đỏ,4, 38 m,Cần bán,Nhà trong hẻm,Phường 1,"6,3m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,3,10m,5763419,20m," 11,6 tỷ ",Sổ hồng/ Sổ đỏ,5, 70 m,Cần bán,Nhà trong hẻm,Phường 12,"3,5m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 3,5,16m,9310156,19m, 33 tỷ ,---,5, 128 m,Cần bán,Nhà trong hẻm,Phường 11,7m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 2,4,20m,9310178,25m, 67 tỷ ,---,5, 300 m,Cần bán,"Biệt thự, nhà liền kề",Phường Thảo Điền,12m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,2,6m,5635303,22m," 13,7 tỷ ",Sổ hồng/ Sổ đỏ,4, 110 m,Cần bán,Nhà trong hẻm,Phường 13,"5,2m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,4,8m,5559579,25m," 12,5 tỷ ",Sổ hồng/ Sổ đỏ,5, 128 m,Cần bán,Nhà trong hẻm,Phường 13,6m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,4,6m,8456610,13m," 7,6 tỷ ",---,6, 51 m,Cần bán,Nhà trong hẻm,Phường Tây Thạnh,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 12,3,20m,8122740,34m, 26 tỷ ,Sổ hồng/ Sổ đỏ,4, 374 m,Cần bán,Nhà mặt tiền,Phường Tân Thới Nhất,11m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 6,2,6m,9266181,18m," 8,2 tỷ ",Sổ hồng/ Sổ đỏ,4, 230 m,Cần bán,Nhà mặt tiền,Phường 13,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,5m,8065643,12m," 5,2 tỷ ",Sổ hồng/ Sổ đỏ,3, 48 m,Cần bán,Nhà trong hẻm,Phường Hòa Thạnh,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,20m,8218288,47m, 24 tỷ ,Sổ hồng/ Sổ đỏ,3, 242 m,Cần bán,Nhà mặt tiền,Phường Tân Thành,"5,34m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,16,---,9309053,---," 3,35 tỷ ",---,2, 70 m,Cần bán,Căn hộ chung cư,Phường 12,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,14m,8201625,20m, 11 tỷ ,Sổ hồng/ Sổ đỏ,4, 80 m,Cần bán,Nhà mặt tiền,Phường Tân Thành,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Tân,---,10m,8228126,38m, 37 tỷ ,Sổ hồng/ Sổ đỏ,---, 532 m,Cần bán,Nhà trong hẻm,Phường Bình Hưng Hòa A,18m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,20m,8232125,18m, 14 tỷ ,Sổ hồng/ Sổ đỏ,4, 90 m,Cần bán,Nhà trong hẻm,Phường Tân Sơn Nhì,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,Bắc,Quận 6,1,8m,9137552,21m," 6,4 tỷ ",Sổ hồng/ Sổ đỏ,2, 80 m,Cần bán,Nhà trong hẻm,Phường 8,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,7,18m,8136018,50m, 43 tỷ ,Sổ hồng/ Sổ đỏ,56, 350 m,Cần bán,Nhà mặt tiền,Phường Phú Thạnh,7m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 12,1,10m,8126365,30m, 19 tỷ ,Sổ hồng/ Sổ đỏ,3, 390 m,Cần bán,Nhà trong hẻm,Phường Đông Hưng Thuận,13m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,2,25m,5735061,22m," 14,5 tỷ ",Sổ hồng/ Sổ đỏ,5, 110 m,Cần bán,Nhà mặt tiền,Phường 15,"5,2m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,---,10m,8381070,"26,5m", 48 tỷ ,Sổ hồng/ Sổ đỏ,---, 465 m,Cần bán,"Kho, xưởng",Phường Hòa Thạnh,"18,6m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,10m,8141771,24m, 13 tỷ ,Sổ hồng/ Sổ đỏ,4, 104 m,Cần bán,Nhà trong hẻm,Phường Tân Sơn Nhì,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,4,10m,8208281,"17,7m"," 14,5 tỷ ",Sổ hồng/ Sổ đỏ,20, 101 m,Cần bán,Nhà mặt tiền,Phường Tân Thành,"4,45m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 12,2,20m,8189646,25m, 50 tỷ ,Sổ hồng/ Sổ đỏ,4, 400 m,Cần bán,Nhà mặt tiền,Phường Tân Hưng Thuận,16m
Hồ Chí Minh,Ngày đăng: Hôm qua,Tây Nam,Huyện Nhà Bè,3,15m,9309691,---," 6,5 tỷ ",Sổ hồng/ Sổ đỏ,5, 80 m,Cần bán,Nhà mặt tiền,Thị trấn Nhà Bè,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,1,7m,9222028,18m," 7,2 tỷ ",Sổ hồng/ Sổ đỏ,2, 72 m,Cần bán,Nhà trong hẻm,Phường Tân Thành,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,5,8m,6848781,22m, 34 tỷ ,Sổ hồng/ Sổ đỏ,54, 332 m,Cần bán,Nhà trong hẻm,Phường Tân Thới Hòa,16m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,4m,8065498,18m," 5,6 tỷ ",Sổ hồng/ Sổ đỏ,2, 76 m,Cần bán,Nhà trong hẻm,Phường Phú Thọ Hòa,"4,3m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,---,20m,8208410,17m," 10,5 tỷ ",Sổ hồng/ Sổ đỏ,1, 68 m,Cần bán,Nhà mặt tiền,Phường Phú Thọ Hòa,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,6m,8604289,14m," 5,58 tỷ ",Sổ hồng/ Sổ đỏ,3, 54 m,Cần bán,Nhà trong hẻm,Phường Hòa Thạnh,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,8m,9222149,20m," 11,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 80 m,Cần bán,Nhà trong hẻm,Phường Tân Sơn Nhì,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,---,14m,8126597,31m," 24,2 tỷ ",Sổ hồng/ Sổ đỏ,---, 260 m,Cần bán,Nhà mặt tiền,Phường Tân Thành,"8,33m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,2,4m,8687722,10m," 5,27 tỷ ",Sổ hồng/ Sổ đỏ,2, 50 m,Cần bán,Nhà trong hẻm,Phường 10,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,6m,8650095,11m," 5,76 tỷ ",Sổ hồng/ Sổ đỏ,3, 55 m,Cần bán,Nhà trong hẻm,Phường Hòa Thạnh,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Gò Vấp,3,"2,5m",8993048,---," 2,9 tỷ ",Sổ hồng/ Sổ đỏ,3, 70 m,Cần bán,Nhà trong hẻm,Phường 7,"4,2m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,---,32m,9227754,50m, 165 tỷ ,Sổ hồng/ Sổ đỏ,1, 1.255 m,Cần bán,Nhà mặt tiền,Phường Tây Thạnh,27m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,4m,9256314,13m," 5,7 tỷ ",Sổ hồng/ Sổ đỏ,4, 52 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,6m,9308985,20m," 4,58 tỷ ",Sổ hồng/ Sổ đỏ,2, 66 m,Cần bán,Nhà trong hẻm,Phường Phú Thọ Hòa,"3,3m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,---,10m,5471092,180m, 14 tỷ ,Sổ hồng/ Sổ đỏ,---, 180 m,Cần bán,"Đất thổ cư, đất ở",Phường Tây Thạnh,10m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,6m,8657967,9m," 4,28 tỷ ",Sổ hồng/ Sổ đỏ,3, 36 m,Cần bán,Nhà trong hẻm,Phường Hòa Thạnh,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,4m,9256568,24m," 5,7 tỷ ",---,2, 56 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,8m,8577686,15m," 5,28 tỷ ",Sổ hồng/ Sổ đỏ,3, 60 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Gò Vấp,2,3m,8927288,---, 58 triệu / m,Sổ hồng/ Sổ đỏ,2, 66 m,Cần bán,Nhà trong hẻm,Phường 10,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,6m,8688226,10m," 4,26 tỷ ",Sổ hồng/ Sổ đỏ,2, 40 m,Cần bán,Nhà trong hẻm,Phường Tân Thới Hòa,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,8m,8551859,15m," 5,28 tỷ ",Sổ hồng/ Sổ đỏ,3, 60 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,---,4m,8071888,29m," 13,5 tỷ ",Sổ hồng/ Sổ đỏ,2, 230 m,Cần bán,Nhà trong hẻm,Phường Phú Trung,"8,15m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Gò Vấp,3,"4,5m",8928695,---," 4,8 tỷ ",Sổ hồng/ Sổ đỏ,4, 42 m,Cần bán,Nhà trong hẻm,Phường 10,7m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,4m,8783710,10m," 3,58 tỷ ",Sổ hồng/ Sổ đỏ,2, 40 m,Cần bán,Nhà trong hẻm,Phường Phú Trung,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,4,2m,8665431,"11,5m"," 6,35 tỷ ",---,4, 50 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,2,2m,8684824,14m," 8,6 tỷ ",---,2, 56 m,Cần bán,Nhà trong hẻm,Phường 15,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,4,6m,8451657,---," 5,29 tỷ ",---,3, 56 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,2m,8675067,15m," 4,85 tỷ ",---,2, 63 m,Cần bán,Nhà trong hẻm,Phường Phú Thọ Hòa,"4,2m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Gò Vấp,1,2m,8691038,"13,5m"," 5,1 tỷ ",---,3, 54 m,Cần bán,Nhà trong hẻm,Phường 12,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Gò Vấp,2,"2,5m",8914426,---, 82 triệu / m,---,2, 38 m,Cần bán,Nhà trong hẻm,Phường 14,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,1,3m,8635644,13m," 6,4 tỷ ",---,2, 54 m,Cần bán,Nhà trong hẻm,Phường Phú Thọ Hòa,"4,1m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,6m,8620923,16m," 5,85 tỷ ",Sổ hồng/ Sổ đỏ,2, 64 m,Cần bán,Nhà trong hẻm,Phường Phú Thạnh,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 10,3,6m,8382012,12m," 7,75 tỷ ",Sổ hồng/ Sổ đỏ,3, 40 m,Cần bán,Nhà trong hẻm,Phường 13,"3,8m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Phú Nhuận,4,8m,8573379,"5,5m"," 3,98 tỷ ",Sổ hồng/ Sổ đỏ,3, 24 m,Cần bán,Nhà mặt tiền,Phường 7,"4,5m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,4m,8458461,---," 2,95 tỷ ",---,2, 36 m,Cần bán,Nhà trong hẻm,Phường Phú Trung,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Huyện Nhà Bè,2,3m,9296894,8m," 1,55 tỷ ",Sổ hồng/ Sổ đỏ,4, 28 m,Cần bán,Nhà trong hẻm,Thị trấn Nhà Bè,"3,5m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,4,7m,8555129,10m," 7,2 tỷ ",Sổ hồng/ Sổ đỏ,5, 38 m,Cần bán,Nhà mặt tiền,Phường 9,"3,8m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 10,5,8m,8521022,9m," 16,5 tỷ ",Sổ hồng/ Sổ đỏ,9, 65 m,Cần bán,Nhà trong hẻm,Phường 15,"7,2m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,8m,8590149,15m," 5,28 tỷ ",Sổ hồng/ Sổ đỏ,4, 60 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,3,5m,8532291,9m, 6 tỷ ,Sổ hồng/ Sổ đỏ,2, 45 m,Cần bán,Nhà mặt tiền,Phường 15,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,2,"6,5m",8511962,16m," 5,9 tỷ ",Sổ hồng/ Sổ đỏ,4, 71 m,Cần bán,Nhà trong hẻm,Phường 21,"4,2m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Thành phố Thủ Đức,3,10m,9309084,25m, 24 tỷ ,Sổ hồng/ Sổ đỏ,8, 240 m,Cần bán,Nhà mặt tiền,Phường Linh Chiểu,"8,8m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,2,4m,8538734,11m," 4,45 tỷ ",Sổ hồng/ Sổ đỏ,2, 46 m,Cần bán,Nhà trong hẻm,Phường 10,"4,2m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,1,7m,8433264,"6,5m"," 5,9 tỷ ",Sổ hồng/ Sổ đỏ,1, 42 m,Cần bán,Nhà mặt tiền,Phường 6,7m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,5,8m,9262476,29m," 17,5 tỷ ",Sổ hồng/ Sổ đỏ,28, 650 m,Cần bán,Nhà trong hẻm,Phường 13,"4,5m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Huyện Nhà Bè,---,3m,9269789,21m," 3,45 tỷ ",Sổ hồng/ Sổ đỏ,2, 88 m,Cần bán,Nhà trong hẻm,Thị trấn Nhà Bè,"4,2m"
Hồ Chí Minh,Ngày đăng: Hôm qua,Đông Nam,Quận Bình Tân,3,10m,5393622,20m," 6,9 tỷ ",Sổ hồng/ Sổ đỏ,4, 80 m,Cần bán,Nhà mặt tiền,Phường An Lạc A,"3,9m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 10,---,4m,7206429,---," 5,2 tỷ ",---,---, 66 m,Cần bán,Nhà trong hẻm,Phường 10,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,---,5m,8266265,---," 4,4 tỷ ",---,---, 25 m,Cần bán,Nhà trong hẻm,Phường 8,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 1,4,0m,3851128,---, 82 tỷ ,---,---, 166 m,Cần bán,Nhà mặt tiền,Phường Nguyễn Thái Bình,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 1,10,20m,3161277,25m, 255 tỷ ,Sổ hồng/ Sổ đỏ,70, 375 m,Cần bán,"Nhà hàng, khách sạn",Phường Bến Thành,15m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 12,2,6m,8723697,13m," 3,35 tỷ ",Sổ hồng/ Sổ đỏ,2, 51 m,Cần bán,Nhà trong hẻm,Phường Thạnh Lộc,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Huyện Nhà Bè,2,15m,9309085,---," 4,5 tỷ ",Sổ hồng/ Sổ đỏ,5, 80 m,Cần bán,Nhà mặt tiền,Thị trấn Nhà Bè,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,2,3m,8579934,---," 3,1 tỷ ",---,2, 30 m,Cần bán,Nhà trong hẻm,Phường 15,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,2,3m,8291144,"8,1m"," 3,5 tỷ ",Sổ hồng/ Sổ đỏ,2, 34 m,Cần bán,Nhà trong hẻm,Phường Phú Thạnh,"4,2m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,2,4m,9015026,15m," 4,9 tỷ ",---,3, 60 m,Cần bán,Nhà mặt tiền,Phường 2,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 1,8,20m,3168223,25m, 53 tỷ ,Sổ hồng/ Sổ đỏ,40, 150 m,Cần bán,"Nhà hàng, khách sạn",Phường Phạm Ngũ Lão,6m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,2,4m,9017114,14m," 7,8 tỷ ",---,4, 84 m,Cần bán,Nhà trong hẻm,Phường 24,6m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,5,4m,8892177,"11,6m"," 4,95 tỷ ",---,7, 46 m,Cần bán,Nhà mặt tiền,Phường 21,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Tân,3,4m,9094240,12m," 3,55 tỷ ",---,4, 36 m,Cần bán,Nhà trong hẻm,Phường Bình Hưng Hòa A,3m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 8,2,3m,9234720,"5,7m"," 2,85 tỷ ",Sổ hồng/ Sổ đỏ,2, 29 m,Cần bán,Nhà trong hẻm,Phường 12,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,Tây,Quận Tân Phú,4,6m,8364125,"11,8m"," 5,9 tỷ ",Sổ hồng/ Sổ đỏ,6, 47 m,Cần bán,Nhà trong hẻm,Phường Tây Thạnh,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Tân,4,6m,9048096,"13,5m"," 5,15 tỷ ",---,4, 53 m,Cần bán,Nhà trong hẻm,Phường Bình Trị Đông,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,2,4m,9015098,15m," 4,9 tỷ ",---,3, 70 m,Cần bán,Nhà trong hẻm,Phường 2,"4,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,2,4m,9017437,16m," 7,8 tỷ ",---,4, 84 m,Cần bán,Nhà mặt tiền,Phường 24,6m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,1,4m,8772291,---," 3,4 tỷ ",---,1, 26 m,Cần bán,Nhà trong hẻm,Phường 11,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 2,22,---,2745566,---, 3 tỷ ,---,2, 69 m,Cần bán,Căn hộ chung cư,Phường An Phú,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 6,3,20m,8287201,35m, 21 tỷ ,Sổ hồng/ Sổ đỏ,6, 488 m,Cần bán,Nhà mặt tiền,Phường 13,6m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Bình,2,3m,9093681,6m," 2,6 tỷ ",Sổ hồng/ Sổ đỏ,1, 19 m,Cần bán,Nhà trong hẻm,Phường 3,"3,2m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 6,2,2m,9194769,13m," 2,5 tỷ ",Sổ hồng/ Sổ đỏ,2, 30 m,Cần bán,Nhà trong hẻm,Phường 12,3m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Bình,4,4m,8170232,6m," 3,5 tỷ ",Sổ hồng/ Sổ đỏ,3, 30 m,Cần bán,Nhà trong hẻm,Phường 2,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,---,---,1818236,---, 6 tỷ ,---,---, 102 m,Cần bán,"Shop, kiot, quán",Phường Hiệp Tân,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 2,3,---,2715393,---," 3,1 tỷ ",---,6, 360 m,Cần bán,"Biệt thự, nhà liền kề",Phường An Phú,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,5,5m,8233888,13m," 7,95 tỷ ",Sổ hồng/ Sổ đỏ,5, 60 m,Cần bán,Nhà trong hẻm,Phường 2,"4,5m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,3,4m,8172921,15m," 3,35 tỷ ",Sổ hồng/ Sổ đỏ,3, 50 m,Cần bán,Nhà trong hẻm,Phường Phú Thạnh,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Tân Phú,1,8m,8178615,22m," 7,8 tỷ ",Sổ hồng/ Sổ đỏ,3, 110 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 1,32,---,7626016,---," 6,5 tỷ ",---,2, 75 m,Cần bán,Căn hộ chung cư,Phường Cô Giang,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 8,2,20m,8321274,23m," 20,9 tỷ ",Sổ hồng/ Sổ đỏ,8, 345 m,Cần bán,Nhà trong hẻm,Phường 16,15m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 3,5,4m,6592478,---," 8,85 tỷ ",Sổ hồng/ Sổ đỏ,7, 60 m,Cần bán,Nhà trong hẻm,Phường 3,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Phú,2,3m,9165765,"19,5m"," 5,1 tỷ ",---,2, 81 m,Cần bán,Nhà trong hẻm,Phường Hiệp Tân,"4,2m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Gò Vấp,5,"4,5m",6436156,14m," 8,2 tỷ ",Sổ hồng/ Sổ đỏ,4, 63 m,Cần bán,Nhà trong hẻm,Phường 16,"4,5m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 1,28,---,7319860,---, 9 tỷ ,---,2, 76 m,Cần bán,Căn hộ chung cư,Phường Cô Giang,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,2,"3,5m",8267030,12m," 5,98 tỷ ",Sổ hồng/ Sổ đỏ,2, 61 m,Cần bán,Nhà trong hẻm,Phường 11,"5,1m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Gò Vấp,3,"2,5m",8396541,---," 5,6 tỷ ",Sổ hồng/ Sổ đỏ,4, 77 m,Cần bán,Nhà mặt tiền,Phường 11,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Gò Vấp,5,6m,8279859,17m," 6,15 tỷ ",Sổ hồng/ Sổ đỏ,5, 62 m,Cần bán,Nhà mặt tiền,Phường 12,"3,6m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,1,4m,7362971,18m," 8,85 tỷ ",---,2, 70 m,Cần bán,Nhà mặt tiền, Phường 19,"3,9m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 2,3,6m,8467205,22m," 24,9 tỷ ",Sổ hồng/ Sổ đỏ,4, 159 m,Cần bán,Nhà trong hẻm,Phường Thảo Điền,7m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Phú Nhuận,3,5m,9147038,"7,5m"," 6,6 tỷ ",Sổ hồng/ Sổ đỏ,4, 49 m,Cần bán,Nhà trong hẻm,Phường 5,"6,6m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 1,5,"3,5m",8238865,9m," 7,55 tỷ ",Sổ hồng/ Sổ đỏ,5, 35 m,Cần bán,Nhà trong hẻm,Phường Tân Định,4m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,7,10m,8321377,---," 32,9 tỷ ",Sổ hồng/ Sổ đỏ,10, 161 m,Cần bán,Nhà mặt tiền,Phường 24,"6,5m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 10,5,12m,7197281,10m," 13,25 tỷ ",---,4, 33 m,Cần bán,Nhà mặt tiền,Phường 8,"3,3m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận 1,2,5m,8499653,12m," 5,5 tỷ ",Sổ hồng/ Sổ đỏ,2, 36 m,Cần bán,Nhà trong hẻm,Phường Nguyễn Cư Trinh,3m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,3,5m,8465014,"14,5m"," 13,1 tỷ ",Sổ hồng/ Sổ đỏ,3, 100 m,Cần bán,Nhà trong hẻm,Phường 12,"6,6m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,2,4m,9139215,10m," 5,9 tỷ ",Sổ hồng/ Sổ đỏ,3, 60 m,Cần bán,Nhà trong hẻm,Phường 11,6m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Phú Nhuận,3,7m,9139676,13m," 7,2 tỷ ",Sổ hồng/ Sổ đỏ,3, 45 m,Cần bán,Nhà trong hẻm,Phường 1,"3,5m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,4,12m,9129263,17m," 12,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 85 m,Cần bán,Nhà trong hẻm,Phường 25,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,4,10m,9122552,16m," 12,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 80 m,Cần bán,Nhà trong hẻm,Phường 25,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,5,16m,9081298,18m," 17,5 tỷ ",Sổ hồng/ Sổ đỏ,7, 90 m,Cần bán,Nhà mặt tiền,Phường 25,5m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Gò Vấp,2,8m,8608339,"11,5m"," 4,98 tỷ ",Sổ hồng/ Sổ đỏ,2, 47 m,Cần bán,Nhà trong hẻm,Phường 1,3m
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,5,"3,7m",6838987,12m," 7,5 tỷ ",Sổ hồng/ Sổ đỏ,5, 44 m,Cần bán,Nhà trong hẻm,Phường 15,"3,7m"
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Quận Bình Thạnh,4,3m,8587181,8m," 3,75 tỷ ",Sổ hồng/ Sổ đỏ,2, 26 m,Cần bán,Nhà trong hẻm,Phường 14,"3,3m"
